id,name,full_name,html_url,description,created_at,updated_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,forks_count,open_issues_count,forks,open_issues,watchers,network_count,subscribers_count,date
139199684,prefect,PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,"The easiest way to automate your data",2018-06-29T21:59:26Z,2022-04-28T10:46:25Z,https://prefect.io,78413,8759,8759,Python,true,true,true,false,false,870,502,870,502,8759,870,146,2022-04-28
204086862,streamlit,streamlit/streamlit,https://github.com/streamlit/streamlit,"Streamlit — The fastest way to build data apps in Python",2019-08-24T00:14:52Z,2022-04-28T14:30:49Z,https://streamlit.io,134809,18786,18786,Python,true,false,true,true,false,1697,572,1697,572,18786,1697,264,2022-04-28
370568987,datahub,acryldata/datahub,https://github.com/acryldata/datahub,"A Generalized Metadata Search & Discovery Tool",2021-05-25T04:58:37Z,2022-03-21T17:04:27Z,https://datahubproject.io,264470,5,5,Java,false,true,true,false,false,3,4,3,4,5,1463,1,2022-04-28
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2022-04-28
60246359,ClickHouse,ClickHouse/ClickHouse,https://github.com/ClickHouse/ClickHouse,"ClickHouse® is a free analytics DBMS for big data",2016-06-02T08:28:18Z,2022-04-28T13:57:08Z,https://clickhouse.com,711930,23419,23419,C++,true,true,true,true,false,4676,2215,4676,2215,23419,4676,668,2022-04-28
131619646,dagster,dagster-io/dagster,https://github.com/dagster-io/dagster,"An orchestration platform for the development, production, and observation of data assets.",2018-04-30T16:30:04Z,2022-04-28T14:14:42Z,https://dagster.io,447476,4634,4634,Python,true,true,true,false,false,586,988,586,988,4634,586,83,2022-04-28
53548867,dbt-core,dbt-labs/dbt-core,https://github.com/dbt-labs/dbt-core,"dbt enables data analysts and engineers to transform their data using the same practices that software engineers use to build applications.",2016-03-10T02:38:00Z,2022-04-28T14:11:59Z,https://getdbt.com,21199,4605,4605,Python,true,false,true,true,false,861,332,861,332,4605,861,102,2022-04-28
139199684,prefect,PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,"The easiest way to automate your data",2018-06-29T21:59:26Z,2022-04-28T10:46:25Z,https://prefect.io,78413,8759,8759,Python,true,true,true,false,false,870,502,870,502,8759,870,146,2022-04-28
204086862,streamlit,streamlit/streamlit,https://github.com/streamlit/streamlit,"Streamlit — The fastest way to build data apps in Python",2019-08-24T00:14:52Z,2022-04-28T14:30:49Z,https://streamlit.io,134809,18786,18786,Python,true,false,true,true,false,1697,572,1697,572,18786,1697,264,2022-04-28
370568987,datahub,acryldata/datahub,https://github.com/acryldata/datahub,"A Generalized Metadata Search & Discovery Tool",2021-05-25T04:58:37Z,2022-03-21T17:04:27Z,https://datahubproject.io,264470,5,5,Java,false,true,true,false,false,3,4,3,4,5,1463,1,2022-04-28
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2022-04-28
60246359,ClickHouse,ClickHouse/ClickHouse,https://github.com/ClickHouse/ClickHouse,"ClickHouse® is a free analytics DBMS for big data",2016-06-02T08:28:18Z,2022-04-28T14:51:03Z,https://clickhouse.com,712005,23420,23420,C++,true,true,true,true,false,4677,2215,4677,2215,23420,4677,668,2022-04-28
131619646,dagster,dagster-io/dagster,https://github.com/dagster-io/dagster,"An orchestration platform for the development, production, and observation of data assets.",2018-04-30T16:30:04Z,2022-04-28T14:14:42Z,https://dagster.io,447484,4634,4634,Python,true,true,true,false,false,586,990,586,990,4634,586,83,2022-04-28
53548867,dbt-core,dbt-labs/dbt-core,https://github.com/dbt-labs/dbt-core,"dbt enables data analysts and engineers to transform their data using the same practices that software engineers use to build applications.",2016-03-10T02:38:00Z,2022-04-28T14:11:59Z,https://getdbt.com,21199,4605,4605,Python,true,false,true,true,false,861,331,861,331,4605,861,102,2022-04-28
139199684,prefect,PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,"The easiest way to automate your data",2018-06-29T21:59:26Z,2022-04-28T10:46:25Z,https://prefect.io,78413,8759,8759,Python,true,true,true,false,false,870,502,870,502,8759,870,146,2022-04-28
